episode,total_reward
1,-979.0
2,-1096.0
3,-979.0
4,-1006.0
5,-1066.0
6,-1006.0
7,-943.0
8,-591.0
9,-671.0
10,-1069.0
11,-533.0
12,-880.0
13,-862.0
14,-1159.0
15,-1159.0
16,-988.0
17,-818.0
18,-997.0
19,-934.0
20,-1042.0
21,-1123.0
22,-943.0
23,-995.0
24,-804.0
25,-1024.0
26,-961.0
27,-952.0
28,-961.0
29,-878.0
30,-1024.0
31,-943.0
32,-1033.0
33,-808.0
34,-886.0
35,-988.0
36,-988.0
37,-907.0
38,-624.0
39,-878.0
40,-1051.0
41,-1024.0
42,-895.0
43,-651.0
44,-970.0
45,-167.0
46,-1033.0
47,-1051.0
48,-1069.0
49,-666.0
50,-952.0
51,-880.0
52,-527.0
53,-1024.0
54,-902.0
55,-1015.0
56,-1078.0
57,-979.0
58,-979.0
59,-997.0
60,-936.0
61,-885.0
62,-997.0
63,-925.0
64,-934.0
65,-997.0
66,-880.0
67,-1033.0
68,-1042.0
69,-898.0
70,-988.0
71,-988.0
72,-1015.0
73,-889.0
74,-775.0
75,-808.0
76,-352.0
77,-677.0
78,-997.0
79,-907.0
80,-482.0
81,-1006.0
82,-817.0
83,-997.0
84,-997.0
85,-227.0
86,-735.0
87,-979.0
88,-1006.0
89,-1006.0
90,-1087.0
91,-699.0
92,-934.0
93,-925.0
94,-961.0
95,-1015.0
96,-997.0
97,-772.0
98,-519.0
99,-830.0
100,-1069.0
101,-970.0
102,-862.0
103,-1060.0
104,-898.0
105,-934.0
106,-687.0
107,-662.0
108,-916.0
109,-1078.0
110,-943.0
111,-970.0
112,-932.0
113,-952.0
114,-916.0
115,-768.0
116,-889.0
117,-853.0
118,-760.0
119,-1087.0
120,-1060.0
121,-925.0
122,-310.0
123,-721.0
124,-1078.0
125,-1114.0
126,-970.0
127,-371.0
128,-1042.0
129,-871.0
130,-897.0
131,-1114.0
132,-745.0
133,-929.0
134,-777.0
135,-799.0
136,-670.0
137,-681.0
138,-835.0
139,-898.0
140,-761.0
141,-507.0
142,-719.0
143,-979.0
144,-439.0
145,-898.0
146,-1015.0
147,-631.0
148,-717.0
149,-934.0
150,-952.0
151,-970.0
152,-934.0
153,-970.0
154,-352.0
155,-1033.0
156,-652.0
157,-871.0
158,-498.0
159,-723.0
160,-1024.0
161,-627.0
162,-916.0
163,-934.0
164,-970.0
165,-225.0
166,-997.0
167,-486.0
168,-775.0
169,-825.0
170,-261.0
171,-659.0
172,-961.0
173,-970.0
174,-943.0
175,-796.0
176,-71.0
177,-979.0
178,-943.0
179,-970.0
180,-948.0
181,-368.0
182,-459.0
183,-620.0
184,-713.0
185,-905.0
186,-916.0
187,-1039.0
188,-1069.0
189,-608.0
190,-907.0
191,-1024.0
192,-806.0
193,-1015.0
194,-591.0
195,-970.0
196,-943.0
197,-661.0
198,-146.0
199,-970.0
200,-1015.0
201,-997.0
202,-756.0
203,-809.0
204,-450.0
205,-970.0
206,-907.0
207,-655.0
208,-456.0
209,-521.0
210,-262.0
211,-270.0
212,-352.0
213,-1060.0
214,-1006.0
215,-862.0
216,-548.0
217,-297.0
218,-798.0
219,-718.0
220,-721.0
221,-462.0
222,-961.0
223,-662.0
224,-729.0
225,-907.0
226,-211.0
227,-850.0
228,-916.0
229,-988.0
230,-434.0
231,-941.0
232,-782.0
233,-997.0
234,-970.0
235,-961.0
236,-202.0
237,-817.0
238,-874.0
239,-414.0
240,-572.0
241,-943.0
242,-1033.0
243,-952.0
244,-424.0
245,-979.0
246,-934.0
247,-791.0
248,-1006.0
249,-648.0
250,-599.0
251,-536.0
252,-1015.0
253,-421.0
254,-458.0
255,-581.0
256,-304.0
257,-1042.0
258,-84.0
259,-979.0
260,-1051.0
261,-1123.0
262,-296.0
263,-396.0
264,-898.0
265,-705.0
266,-865.0
267,-635.0
268,-1141.0
269,-862.0
270,-615.0
271,-907.0
272,-783.0
273,-795.0
274,-1042.0
275,-396.0
276,-997.0
277,-961.0
278,-988.0
279,-547.0
280,-961.0
281,-634.0
282,-934.0
283,-521.0
284,-997.0
285,-934.0
286,-824.0
287,-468.0
288,-334.0
289,-615.0
290,-953.0
291,-486.0
292,-1024.0
293,-949.0
294,-806.0
295,-943.0
296,-830.0
297,-106.0
298,-743.0
299,-623.0
300,-320.0
301,-431.0
302,-970.0
303,-306.0
304,-180.0
305,-347.0
306,-623.0
307,-880.0
308,-394.0
309,-627.0
310,-125.0
311,-952.0
312,-261.0
313,-320.0
314,-455.0
315,-53.0
316,-744.0
317,-633.0
318,-427.0
319,-488.0
320,-1096.0
321,-333.0
322,-799.0
323,-1042.0
324,-715.0
325,-872.0
326,-907.0
327,-164.0
328,-398.0
329,-456.0
330,-844.0
331,-436.0
332,-311.0
333,-784.0
334,-868.0
335,-889.0
336,-370.0
337,-361.0
338,-907.0
339,-350.0
340,-669.0
341,-440.0
342,-347.0
343,-862.0
344,-317.0
345,-191.0
346,-499.0
347,-664.0
348,-573.0
349,-1006.0
350,-771.0
351,-551.0
352,-423.0
353,-1051.0
354,-925.0
355,-356.0
356,-925.0
357,-808.0
358,-970.0
359,-356.0
360,-613.0
361,-521.0
362,-898.0
363,-700.0
364,-190.0
365,-1033.0
366,-844.0
367,-988.0
368,-538.0
369,-388.0
370,-181.0
371,-816.0
372,-961.0
373,-934.0
374,-466.0
375,-659.0
376,-610.0
377,-507.0
378,-1024.0
379,-952.0
380,-407.0
381,-562.0
382,-623.0
383,-1015.0
384,-331.0
385,-428.0
386,-1006.0
387,-952.0
388,-97.0
389,-173.0
390,-448.0
391,-365.0
392,-704.0
393,-298.0
394,-272.0
395,-174.0
396,-943.0
397,-517.0
398,-431.0
399,-934.0
400,-363.0
401,-925.0
402,-313.0
403,-244.0
404,-97.0
405,-786.0
406,-818.0
407,-997.0
408,-593.0
409,-925.0
410,-988.0
411,-869.0
412,-300.0
413,-871.0
414,-383.0
415,-817.0
416,-96.0
417,-176.0
418,-270.0
419,-431.0
420,-845.0
421,-547.0
422,-470.0
423,-314.0
424,-387.0
425,-397.0
426,-534.0
427,-105.0
